year,total
1950,76
1951,71
1952,83
1953,96
1954,62
1955,45
1956,90
1957,73
1958,52
1959,27
1960,45
1961,58
1962,71
1963,39
1964,68
1965,58
1966,70
1967,80
1968,64
1969,72
1970,84
1971,85
1972,65
1973,106
1974,94
1975,70
1976,84
1977,29
1978,58
1979,59
1980,82
1981,68
1982,50
1983,66
1984,66
1985,64
1986,69
1987,42
1988,54
1989,35
1990,46
1991,57
1992,61
1993,65
1994,42
1995,33
1996,41
1997,27
1998,59
1999,72
2000,61
2001,45
2002,35
2003,46
2004,53
2005,82
2006,52
2007,61
2008,47
2009,37
2010,37
2011,48
2012,71
2013,63
2014,28
2015,45
2016,33
2017,58
2018,49
2019,63
2020,41
2021,43
2022,39
2023,64
2024,6
