year,total
1950,69
1951,46
1952,64
1953,94
1954,79
1955,84
1956,69
1957,50
1958,45
1959,42
1960,48
1961,54
1962,62
1963,63
1964,70
1965,38
1966,30
1967,40
1968,31
1969,46
1970,60
1971,64
1972,38
1973,72
1974,33
1975,43
1976,54
1977,31
1978,37
1979,45
1980,31
1981,52
1982,27
1983,53
1984,46
1985,60
1986,41
1987,56
1988,57
1989,47
1990,52
1991,61
1992,49
1993,60
1994,29
1995,44
1996,38
1997,42
1998,47
1999,42
2000,57
2001,52
2002,24
2003,42
2004,55
2005,73
2006,61
2007,60
2008,47
2009,52
2010,63
2011,42
2012,65
2013,42
2014,25
2015,49
2016,40
2017,61
2018,42
2019,49
2020,43
2021,34
2022,50
2023,52
2024,22
