year,total
1950,21
1951,18
1952,39
1953,30
1954,28
1955,11
1956,46
1957,33
1958,16
1959,8
1960,14
1961,11
1962,23
1963,20
1964,27
1965,36
1966,19
1967,24
1968,16
1969,22
1970,26
1971,24
1972,12
1973,25
1974,10
1975,13
1976,10
1977,7
1978,13
1979,12
1980,21
1981,23
1982,3
1983,31
1984,29
1985,28
1986,27
1987,20
1988,10
1989,3
1990,16
1991,12
1992,12
1993,15
1994,18
1995,9
1996,8
1997,8
1998,10
1999,24
2000,14
2001,15
2002,1
2003,16
2004,9
2005,36
2006,13
2007,9
2008,10
2009,18
2010,27
2011,11
2012,20
2013,11
2014,2
2015,7
2016,4
2017,18
2018,12
2019,9
2020,6
2021,18
2022,3
2023,12
