year,total
1950,44
1951,37
1952,45
1953,50
1954,40
1955,22
1956,57
1957,44
1958,28
1959,19
1960,24
1961,12
1962,41
1963,27
1964,56
1965,49
1966,41
1967,45
1968,45
1969,61
1970,71
1971,83
1972,68
1973,94
1974,81
1975,72
1976,77
1977,30
1978,55
1979,49
1980,57
1981,49
1982,26
1983,57
1984,53
1985,43
1986,42
1987,37
1988,49
1989,29
1990,30
1991,32
1992,47
1993,54
1994,35
1995,22
1996,15
1997,11
1998,29
1999,49
2000,34
2001,32
2002,17
2003,22
2004,25
2005,71
2006,38
2007,33
2008,28
2009,24
2010,28
2011,24
2012,58
2013,42
2014,12
2015,37
2016,13
2017,35
2018,23
2019,29
2020,19
2021,19
2022,22
2023,42
2024,16
2025,19
2026,10
