year,total
1950,81
1951,55
1952,79
1953,99
1954,86
1955,53
1956,107
1957,79
1958,74
1959,48
1960,47
1961,53
1962,85
1963,48
1964,105
1965,64
1966,69
1967,76
1968,62
1969,82
1970,91
1971,101
1972,72
1973,115
1974,89
1975,99
1976,93
1977,43
1978,56
1979,67
1980,90
1981,96
1982,74
1983,92
1984,64
1985,72
1986,77
1987,62
1988,75
1989,52
1990,68
1991,82
1992,85
1993,92
1994,58
1995,53
1996,63
1997,48
1998,83
1999,106
2000,80
2001,82
2002,56
2003,68
2004,99
2005,104
2006,71
2007,99
2008,95
2009,80
2010,77
2011,68
2012,103
2013,85
2014,65
2015,99
2016,64
2017,100
2018,78
2019,97
2020,79
2021,79
2022,59
,81
,55
,79
,99
,86
,53
,107
,79
,74
,48
,47
,53
,85
,48
,105
,64
,69
,76
,62
,82
,91
,101
,72
,115
,89
,99
,93
,43
,56
,67
,90
,96
,74
,92
,64
,72
,77
,62
,75
,52
,68
,82
,85
,92
,58
,53
,63
,48
,83
,106
,80
,82
,56
,68
,99
,104
,71
,99
,95
,80
,77
,68
,103
,85
,65
,99
,64
,100
,78
,97
,79
,79
,59
