year,total
1950,0
1951,0
1952,1
1953,5
1954,19
1955,1
1956,20
1957,13
1958,15
1959,0
1960,4
1961,1
1962,2
1963,1
1964,2
1965,1
1966,3
1967,9
1968,6
1969,4
1970,7
1971,1
1972,2
1973,0
1974,0
1975,3
1976,3
1977,2
1978,5
1979,3
1980,7
1981,8
1982,0
1983,5
1984,3
1985,7
1986,7
1987,5
1988,2
1989,1
1990,1
1991,8
1992,8
1993,10
1994,11
1995,6
1996,1
1997,0
1998,8
1999,1
2000,1
2001,0
2002,0
2003,1
2004,2
2005,12
2006,4
2007,7
2008,4
2009,6
2010,0
2011,0
2012,9
2013,4
2014,2
2015,3
2016,2
2017,11
2018,9
2019,10
2020,4
2021,11
2022,2
,0
,0
,1
,5
,19
,1
,20
,13
,15
,0
,4
,1
,2
,1
,2
,1
,3
,9
,6
,4
,7
,1
,2
,0
,0
,3
,3
,2
,5
,3
,7
,8
,0
,5
,3
,7
,7
,5
,2
,1
,1
,8
,8
,10
,11
,6
,1
,0
,8
,1
,1
,0
,0
,1
,2
,12
,4
,7
,4
,6
,0
,0
,9
,4
,2
,3
,2
,11
,9
,10
,4
,11
,2
