year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,15
1961,7
1962,19
1963,10
1964,21
1965,16
1966,20
1967,28
1968,28
1969,20
1970,21
1971,20
1972,14
1973,33
1974,20
1975,12
1976,24
1977,5
1978,10
1979,8
1980,19
1981,37
1982,0
1983,0
1984,0
1985,0
1986,8
1987,17
1988,16
1989,6
1990,10
1991,23
1992,27
1993,32
1994,25
1995,13
1996,4
1997,0
1998,15
1999,17
2000,8
2001,3
2002,1
2003,10
2004,12
2005,40
2006,5
2007,5
2008,6
2009,8
2010,2
2011,4
2012,26
2013,13
2014,3
2015,21
2016,4
2017,16
2018,12
2019,17
2020,5
2021,16
2022,7
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,15
,7
,19
,10
,21
,16
,20
,28
,28
,20
,21
,20
,14
,33
,20
,12
,24
,5
,10
,8
,19
,37
,0
,0
,0
,0
,8
,17
,16
,6
,10
,23
,27
,32
,25
,13
,4
,0
,15
,17
,8
,3
,1
,10
,12
,40
,5
,5
,6
,8
,2
,4
,26
,13
,3
,21
,4
,16
,12
,17
,5
,16
,7
