year,total
1950,1210
1951,981
1952,1140
1953,1462
1954,1279
1955,1528
1956,1121
1957,1325
1958,1419
1959,1213
1960,1475
1961,1835
1962,2019
1963,1314
1964,2127
1965,1737
1966,1577
1967,1674
1968,1607
1969,1325
1970,1813
1971,1341
1972,971
1973,1632
1974,1547
1975,1636
1976,1489
1977,918
1978,1587
1979,1579
1980,1748
1981,1758
1982,1487
1983,1601
1984,1295
1985,1996
1986,1923
1987,2057
1988,1709
1989,2268
1990,2332
1991,2429
1992,1864
1993,1626
1994,2455
1995,1956
1996,1786
1997,1660
1998,2178
1999,2109
2000,2149
2001,2289
2002,1801
2003,2897
2004,2380
2005,2552
2006,2555
2007,1799
2008,1937
2009,2533
2010,2251
2011,2494
2012,2625
2013,2255
2014,2114
2015,2709
2016,2558
2017,2873
2018,2458
