year,total
1950,53
1951,36
1952,45
1953,60
1954,59
1955,45
1956,27
1957,94
1958,68
1959,69
1960,49
1961,75
1962,121
1963,30
1964,92
1965,116
1966,112
1967,112
1968,103
1969,86
1970,63
1971,28
1972,10
1973,76
1974,84
1975,102
1976,76
1977,7
1978,114
1979,64
1980,102
1981,110
1982,73
1983,39
1984,44
1985,76
1986,64
1987,131
1988,132
1989,174
1990,169
1991,282
1992,137
1993,138
1994,233
1995,179
1996,56
1997,31
1998,183
1999,140
2000,124
2001,129
2002,65
2003,305
2004,143
2005,178
2006,206
2007,111
2008,87
2009,207
2010,199
2011,118
2012,252
2013,145
2014,74
2015,295
2016,268
2017,327
2018,157
