year,total
1950,23
1951,20
1952,25
1953,23
1954,24
1955,21
1956,9
1957,47
1958,44
1959,39
1960,18
1961,30
1962,65
1963,12
1964,44
1965,69
1966,59
1967,63
1968,66
1969,35
1970,36
1971,10
1972,2
1973,35
1974,44
1975,62
1976,39
1977,0
1978,73
1979,40
1980,52
1981,63
1982,43
1983,19
1984,23
1985,34
1986,34
1987,72
1988,77
1989,116
1990,96
1991,177
1992,99
1993,73
1994,137
1995,128
1996,32
1997,12
1998,85
1999,82
2000,68
2001,64
2002,28
2003,169
2004,91
2005,96
2006,118
2007,58
2008,47
2009,111
2010,114
2011,51
2012,151
2013,87
2014,37
2015,177
2016,156
2017,204
2018,88
2019,104
2020,105
