fecha,minima
1950-06-30,23.4
1950-07-09,23.0
1950-07-21,21.0
1950-08-21,20.4
1950-08-23,20.0
1950-09-10,20.0
1951-06-14,20.2
1951-07-21,20.0
1951-07-29,20.6
1952-06-26,20.4
1952-06-30,20.6
1955-08-20,20.6
1955-08-22,20.0
1957-06-29,20.0
1957-07-04,22.8
1957-08-02,20.2
1958-08-09,20.0
1958-09-12,20.0
1959-07-08,20.6
1959-07-09,20.6
1959-08-29,20.0
1961-06-24,20.0
1961-07-01,20.4
1961-07-26,21.2
1961-08-29,20.0
1962-06-23,20.0
1962-09-03,20.6
1964-07-16,22.4
1964-07-17,20.0
1964-09-01,20.4
1965-08-05,20.4
1965-08-06,20.4
1965-08-12,20.2
1966-08-11,20.4
1967-07-17,20.0
1968-07-01,20.2
1968-08-22,20.2
1969-07-23,20.4
1969-07-28,20.2
1969-08-08,20.6
1969-08-09,20.4
1969-08-10,20.0
1969-08-12,20.8
1970-07-11,20.0
1970-08-13,20.2
1973-08-06,20.0
1973-08-11,21.0
1974-08-13,20.4
1974-08-16,22.0
1975-08-01,20.8
1978-07-29,20.0
1980-07-28,20.0
1980-08-02,20.4
1980-08-22,21.0
1980-08-25,20.2
1981-07-30,22.6
1982-06-17,20.0
1982-07-02,21.8
1982-07-05,22.4
1982-07-06,22.2
1982-07-07,21.6
1982-07-08,20.6
1982-07-09,20.4
1982-08-12,20.0
1983-07-10,20.2
1983-07-16,20.2
1983-07-30,21.8
1984-07-30,21.4
1984-08-19,20.0
1985-07-08,20.0
1985-07-13,20.6
1985-07-24,21.8
1985-07-25,21.6
1986-06-26,20.6
1986-09-15,20.2
1987-06-30,20.0
1987-07-03,20.2
1987-07-06,21.0
1987-07-08,20.0
1987-07-12,20.0
1987-07-15,20.0
1987-08-13,23.8
1987-08-14,22.0
1987-08-15,21.6
1987-08-16,21.8
1987-08-21,23.4
1987-08-30,20.0
1988-08-01,20.0
1988-08-14,20.0
1989-07-20,22.4
1989-08-07,20.2
1990-07-23,20.6
1990-08-03,20.8
1990-08-05,20.2
1990-08-12,20.2
1990-08-29,20.8
1991-07-11,20.0
1991-07-20,20.0
1992-08-07,20.4
1993-08-21,22.2
1994-07-28,20.6
1994-08-03,22.0
1994-08-04,20.0
1994-08-07,21.0
1995-07-20,23.6
1995-07-25,22.2
1996-07-22,21.0
1998-07-19,20.2
1998-07-20,20.6
1998-08-12,20.0
1998-09-02,20.0
1999-08-25,21.2
2000-08-17,20.0
2000-08-25,21.0
2001-07-31,20.4
2001-08-01,24.0
2001-08-25,21.6
2001-08-28,20.0
2003-06-12,20.6
2003-06-14,20.0
2003-06-16,20.0
2003-07-12,20.2
2003-08-04,21.6
2003-08-14,21.4
2003-08-20,20.0
2004-08-01,20.4
2004-09-05,20.0
2005-06-20,20.2
2005-06-23,21.0
2005-06-27,20.7
2005-07-15,21.4
2005-07-27,20.4
2005-07-28,20.4
2005-08-09,20.0
2005-08-30,20.0
2005-09-03,21.0
2006-07-11,20.0
2006-07-18,20.8
2006-07-22,20.0
2006-07-25,21.6
2009-06-14,20.2
2009-07-02,20.3
2009-07-04,20.3
2010-07-11,20.5
2010-08-22,20.0
2011-06-27,21.2
2011-08-21,20.6
2012-08-11,20.1
2012-08-18,22.2
2012-08-19,22.2
2014-07-17,21.8
2014-07-18,20.2
2014-08-28,20.0
2015-06-30,21.4
2015-07-16,21.6
2015-08-12,21.1
2015-08-29,20.4
2015-08-30,20.2
2016-07-10,20.0
2016-07-20,20.2
2017-06-19,20.1
2017-07-17,20.9
2017-07-18,20.1
2017-07-19,20.4
2018-08-01,20.3
2018-08-03,20.4
2019-06-26,21.3
2019-06-27,21.5
2019-07-05,21.6
2019-07-21,20.3
2019-07-22,20.9
2019-07-23,20.9
2019-07-25,20.2
2020-07-29,20.1
2020-08-01,20.4
2020-08-07,20.4
2021-09-07,21.5
2022-06-17,21.1
2022-06-18,20.3
2022-06-19,20.4
2022-07-18,21.2
2022-07-19,20.6
2022-08-11,21.5
2022-08-13,20.2
2023-08-10,20.8
2023-08-18,20.1
2023-08-20,21.2
2023-08-22,21.7
2023-08-23,21.5
2023-08-24,20.2
2023-08-25,20.1
2024-07-30,20.4
